Uni-port ID,Entry name,Protein names,Gene names,Status,Organism,Length,Mass,Activity regulation,Involvement in disease,Catalytic activity,Cross-reference (PDB),Function
P01375,TNFA_HUMAN,"Tumor necrosis factor (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) (TNF-a) [Cleaved into: Tumor necrosis factor, membrane form (N-terminal fragment) (NTF); Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]",TNF TNFA TNFSF2,reviewed,Homo sapiens (Human),233,"25,644",N/A,Psoriatic arthritis (PSORAS),N/A,1A8M;1TNF;2AZ5;2E7A;2TUN;2ZJC;2ZPX;3ALQ;3IT8;3L9J;3WD5;4G3Y;4TSV;4TWT;4Y6O;5M2I;5M2J;5M2M;5MU8;5TSW;5UUI;5WUX;5YOY;6OOY;6OOZ;6OP0;6RMJ;6X81;6X82;6X83;6X85;6X86;7ASY;7AT7;7ATB;7JRA;7KP9;7KPA;7KPB;,Cytokine that binds to TNFRSF1A/TNFR1 and TNFRSF1B/TNFBR.
P01552,ETXB_STAAU,Enterotoxin type B (SEB),entB,reviewed,Staphylococcus aureus,266,"31,436",N/A,N/A,N/A,1D5M;1D5X;1D5Z;1D6E;1GOZ;1SBB;1SE3;1SE4;1SEB;2SEB;3GP7;3R8B;3SEB;3W2D;4C56;4RGM;4RGN;4RGO;,Staphylococcal enterotoxin that activates the host immune system by binding as unprocessed molecules to major histocompatibility (MHC) complex class II and T-cell receptor (TCR) molecules.
P01579,IFNG_HUMAN,Interferon gamma (IFN-gamma) (Immune interferon),IFNG,reviewed,Homo sapiens (Human),166,"19,348",N/A,Aplastic anemia (AA),N/A,1EKU;1FG9;1FYH;1HIG;3BES;6E3K;6E3L;,"Type II interferon produced by immune cells such as T-cells and NK cells that plays crucial roles in antimicrobial, antiviral, and antitumor responses by activating effector immune cells and enhancing antigen presentation."
P01589,IL2RA_HUMAN,Interleukin-2 receptor subunit alpha (IL-2 receptor subunit alpha) (IL-2-RA) (IL-2R subunit alpha) (IL2-RA) (TAC antigen) (p55) (CD antigen CD25),IL2RA,reviewed,Homo sapiens (Human),272,"30,819",N/A,"Diabetes mellitus, insulin-dependent, 10 (IDDM10)",N/A,1Z92;2B5I;2ERJ;3IU3;3NFP;6VWU;6YIO;7F9W;,Receptor for interleukin-2. The receptor is involved in the regulation of immune tolerance by controlling regulatory T cells (TREGs) activity.
P01730,CD4_HUMAN,T-cell surface glycoprotein CD4 (T-cell surface antigen T4/Leu-3) (CD antigen CD4),CD4,reviewed,Homo sapiens (Human),458,"51,111",N/A,Immunodeficiency 79 (IMD79),N/A,1CDH;1CDI;1CDJ;1CDU;1CDY;1G9M;1G9N;1GC1;1JL4;1Q68;1RZJ;1RZK;1WBR;1WIO;1WIP;1WIQ;2B4C;2JKR;2JKT;2KLU;2NXY;2NXZ;2NY0;2NY1;2NY2;2NY3;2NY4;2NY5;2NY6;2QAD;3B71;3CD4;3J70;3JCB;3JCC;3JWD;3JWO;3LQA;3O2D;3S4S;3S5L;3T0E;4H8W;4JM2;4P9H;4Q6I;4R2G;4R4H;4RQS;5A7X;5A8H;5CAY;5THR;5U1F;5VN3;6CM3;6EDU;6L1Y;6MEO;6MET;6OPN;6OPO;6OPP;6OPQ;6QH6;6QH7;6U0L;6U0N;6URI;6X5B;6X5C;7T0O;7T0R;,Integral membrane glycoprotein that plays an essential role in the immune response and serves multiple functions in responses against both external and internal offenses.
P01857,IGHG1_HUMAN,Immunoglobulin heavy constant gamma 1 (Ig gamma-1 chain C region) (Ig gamma-1 chain C region EU) (Ig gamma-1 chain C region KOL) (Ig gamma-1 chain C region NIE),IGHG1,reviewed,Homo sapiens (Human),330,"36,106",N/A,Multiple myeloma (MM),N/A,1AJ7;1AQK;1AXS;1BEY;1D5B;1D5I;1D6V;1DFB;1DN2;1E4K;1FC1;1FC2;1FCC;1GAF;1H3T;1H3U;1H3V;1H3W;1H3X;1H3Y;1HKL;1HZH;1I7Z;1L6X;1N7M;1OQO;1OQX;1PG7;1T83;1T89;1VGE;2DTS;2GJ7;2I5Y;2IWG;2J6E;2JB5;2JB6;2O5X;2O5Y;2O5Z;2OSL;2QAD;2QL1;2QQK;2QQL;2QQN;2QR0;2R56;2RCS;2VXQ;2WAH;3AGV;3AVE;3AY4;3B2U;3B2V;3BDY;3BE1;3BKY;3BN9;3BQU;3C08;3C09;3C2S;3CFJ;3CFK;3CSY;3D0L;3D0V;3D6G;3D85;3DJ9;3DNK;3DO3;3DRO;3DRQ;3DVG;3DVN;3EYF;3EYO;3EYQ;3FJT;3MCL;3O11;3RY6;3S7G;3SGJ;3SGK;3TV3;3TWC;3TYG;3U0W;3U7W;3U7Y;3V7M;3V8C;3V95;3WJJ;3WJL;3WKN;3WN5;4ACP;4B7I;4BM7;4BSV;4BSW;4BYH;4CDH;4D9Q;4D9R;4DAG;4DZ8;4EOW;4HIX;4J12;4KU1;4LLD;4LLM;4LLQ;4N0U;4NQS;4NQT;4NQU;4NWT;4NWU;4O4Y;4O51;4Q6Y;4Q74;4Q7D;4W4N;4W4O;4WI2;4WI3;4WI4;4WI5;4WI6;4WI7;4WI8;4WI9;4X4M;4X98;4X99;4XMP;4XNY;4XNZ;4XXD;4ZNE;5BW7;5C7K;5D4Q;5D6D;5DI8;5DJ0;5DJ2;5DJ6;5DJ8;5DJA;5DJC;5DJD;5DJX;5DJY;5DJZ;5DK0;5DK2;5DVK;5DVL;5DVM;5DVN;5DVO;5GSQ;5HSF;5HY9;5HYE;5HYF;5HYI;5IQ7;5IQ9;5IW3;5IW6;5JIH;5JII;5JIK;5K33;5K64;5K65;5K8D;5KWG;5M3V;5TPS;5U4Y;5U52;5U66;5V43;5V4E;6DCV;6DCW;6DE7;6F2Z;6G1E;6N35;6YT7;7KWO;7LUR;,"Constant region of immunoglobulin heavy chains. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes."
P02144,MYG_HUMAN,Myoglobin,MB,reviewed,Homo sapiens (Human),154,"17,184",N/A,N/A,N/A,3RGK;,Serves as a reserve supply of oxygen and facilitates the movement of oxygen within muscles.
P02649,APOE_HUMAN,Apolipoprotein E (Apo-E),APOE,reviewed,Homo sapiens (Human),317,"36,154",N/A,Hyperlipoproteinemia 3 (HLPP3),N/A,1B68;1BZ4;1EA8;1GS9;1H7I;1LE2;1LE4;1LPE;1NFN;1NFO;1OEF;1OEG;1OR2;1OR3;2KC3;2KNY;2L7B;6IWB;6NCN;6NCO;,"APOE is an apolipoprotein, a protein associating with lipid particles, that mainly functions in lipoprotein-mediated lipid transport between organs via the plasma and interstitial fluids."
P02741,CRP_HUMAN,C-reactive protein [Cleaved into: C-reactive protein(1-205)],CRP PTX1,reviewed,Homo sapiens (Human),224,"25,039",N/A,N/A,N/A,1B09;1GNH;1LJ7;3L2Y;3PVN;3PVO;7PK9;7PKB;7PKD;7PKE;7PKF;7PKG;7PKH;,"Displays several functions associated with host defense: it promotes agglutination, bacterial capsular swelling, phagocytosis and complement fixation through its calcium-dependent binding to phosphorylcholine."
P02768,ALBU_HUMAN,Albumin,ALB GIG20 GIG42 PRO0903 PRO1708 PRO2044 PRO2619 PRO2675 UNQ696/PRO1341,reviewed,Homo sapiens (Human),609,"69,367",N/A,"Hyperthyroxinemia, familial dysalbuminemic (FDAH)",N/A,1AO6;1BJ5;1BKE;1BM0;1E78;1E7A;1E7B;1E7C;1E7E;1E7F;1E7G;1E7H;1E7I;1GNI;1GNJ;1H9Z;1HA2;1HK1;1HK2;1HK3;1HK4;1HK5;1N5U;1O9X;1TF0;1UOR;1YSX;2BX8;2BXA;2BXB;2BXC;2BXD;2BXE;2BXF;2BXG;2BXH;2BXI;2BXK;2BXL;2BXM;2BXN;2BXO;2BXP;2BXQ;2ESG;2I2Z;2I30;2N0X;2VDB;2VUE;2VUF;2XSI;2XVQ;2XVU;2XVV;2XVW;2XW0;2XW1;2YDF;3A73;3B9L;3B9M;3CX9;3JQZ;3JRY;3LU6;3LU7;3LU8;3SQJ;3TDL;3UIV;4BKE;4E99;4EMX;4G03;4G04;4HGK;4HGM;4IW1;4IW2;4K2C;4K71;4L8U;4L9K;4L9Q;4LA0;4LB2;4LB9;4N0F;4N0U;4S1Y;4Z69;5FUO;5GIX;5GIY;5ID7;5IFO;5IJF;5UJB;5VNW;5X52;5YB1;5YOQ;5Z0B;6A7P;6EZQ;6HSC;6JE7;6L4K;6M4R;6M58;6M5D;6M5E;6QIO;6QIP;6R7S;6WUW;6XV0;6YG9;6ZL1;7A9C;7AAE;7AAI;7D6J;7DJN;7DL4;7EEK;7JWN;7QFE;7VR9;,"Binds water, Ca(2+), Na(+), K(+), fatty acids, hormones, bilirubin and drugs (Probable)."
P02879,RICI_RICCO,Ricin [Cleaved into: Ricin A chain (EC 3.2.2.22) (rRNA N-glycosidase); Ricin B chain],N/A,reviewed,Ricinus communis (Castor bean),576,"64,091",N/A,N/A,Reaction=Endohydrolysis of the N-glycosidic bond at one specific adenosine on the 28S rRNA,1BR5;1BR6;1IFS;1IFT;1IFU;1IL3;1IL4;1IL5;1IL9;1J1M;1OBS;1OBT;1RTC;1UQ4;1UQ5;2AAI;2P8N;2PJO;2R2X;2R3D;2VC3;2VC4;3EJ5;3HIO;3LC9;3MK9;3PX8;3PX9;3RTI;3RTJ;3SRP;4ESI;4HUO;4HUP;4HV3;4HV7;4IMV;4KUC;4LGP;4LGR;4LGS;4LHJ;4LHQ;4MX1;4MX5;4Q2V;4Z9K;5BOZ;5DDZ;5E1H;5GU4;5J56;5J57;5SV3;5U4L;5U4M;6CWG;6OBC;6OBE;6OBG;6OBM;6OBO;6OCA;6OCD;6URW;6URX;6URY;7KBI;7KBK;7KC9;7KD0;7KD2;7KDM;7KDU;7MLN;7MLO;7MLP;7MLT;,"Ricin is highly toxic to animal cells, and to a lesser extent to plant cells."
P03129,VE7_HPV16,Protein E7,E7,reviewed,Human papillomavirus type 16,98,"11,022",N/A,N/A,N/A,4YOZ;6APN;,Plays a role in viral genome replication by driving entry of quiescent cells into the cell cycle.
P03134,NS1_MUMIP,Initiator protein NS1 (NS1) (EC 3.1.21.-) (EC 3.6.4.12) (NCVP1) (Non-capsid protein NS-1) (Non-structural protein NS1),NS1,reviewed,Murine minute virus (strain MVM prototype) (MVM) (Murine minute virus (strain MVM(p))),672,"76,249",N/A,N/A,Reaction=ATP + H2O = ADP + H(+) + phosphate,3WRN;3WRO;3WRQ;3WRR;3WRS;4PP4;4R94;,Multifunctional protein which displays endonuclease and helicase activities required for initiating and directing viral DNA replication.
P03355,POL_MLVMS,Gag-Pol polyprotein (Pr180gag-pol) [Cleaved into: Matrix protein p15 (MA); RNA-binding phosphoprotein p12 (pp12); Capsid protein p30 (CA); Nucleocapsid protein p10-Pol (NC-pol); Protease (PR) (EC 3.4.23.-) (p14); Reverse transcriptase/ribonuclease H (RT) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (p80); Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-) (p46)],gag-pol,reviewed,Moloney murine leukemia virus (isolate Shinnick) (MoMLV),1738,"194,912","Most efficiently inhibited by Amprenavir, which is able to block Gag-Pol processing in infected cells",N/A,Reaction=a 2'-deoxyribonucleoside 5'-triphosphate + DNA(n) = diphosphate + DNA(n+1),1D0E;1D1U;1I6J;1MML;1N4L;1NND;1QAI;1QAJ;1ZTT;1ZTW;2FJV;2FJW;2FJX;2FVP;2FVQ;2FVR;2FVS;2HB5;2M9U;2MQV;2MS0;2MS1;2R2R;2R2S;2R2T;2R2U;3FSI;3NNQ;4M94;4M95;4MH8;4NZG;4XO0;4XPC;4XPE;5DMQ;5DMR;5VBS;6B1Q;6B1R;6B1S;6GZA;6MIG;6MIH;6MIK;7JQ8;,Plays a role in budding and is processed by the viral protease during virion maturation outside the cell.
P03372,ESR1_HUMAN,Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1),ESR1 ESR NR3A1,reviewed,Homo sapiens (Human),595,"66,216",N/A,Estrogen resistance (ESTRR),N/A,1A52;1ERE;1ERR;1G50;1GWQ;1GWR;1HCP;1HCQ;1L2I;1PCG;1QKT;1QKU;1R5K;1SJ0;1UOM;1X7E;1X7R;1XP1;1XP6;1XP9;1XPC;1XQC;1YIM;1YIN;1ZKY;2AYR;2B1V;2B1Z;2B23;2BJ4;2FAI;2G44;2G5O;2I0J;2IOG;2IOK;2JF9;2JFA;2LLO;2LLQ;2OCF;2OUZ;2P15;2POG;2Q6J;2Q70;2QA6;2QA8;2QAB;2QE4;2QGT;2QGW;2QH6;2QR9;2QSE;2QXM;2QXS;2QZO;2R6W;2R6Y;2YAT;2YJA;3CBM;3CBO;3CBP;3DT3;3ERD;3ERT;3HLV;3HM1;3L03;3OS8;3OS9;3OSA;3Q95;3UU7;3UUA;3UUC;3UUD;4AA6;4DMA;4IU7;4IUI;4IV2;4IV4;4IVW;4IVY;4IW6;4IW8;4IWC;4IWF;4JC3;4JDD;4MG5;4MG6;4MG7;4MG8;4MG9;4MGA;4MGB;4MGC;4MGD;4O6F;4PP6;4PPP;4PPS;4PXM;4Q13;4Q50;4TUZ;4TV1;4XI3;4ZN7;4ZN9;4ZNH;4ZNS;4ZNT;4ZNU;4ZNV;4ZNW;5AAU;5AAV;5ACC;5AK2;5DI7;5DID;5DIE;5DIG;5DK9;5DKB;5DKE;5DKG;5DKS;5DL4;5DLR;5DMC;5DMF;5DP0;5DRJ;5DRM;5DTV;5DU5;5DUE;5DUG;5DUH;5DVS;5DVV;5DWE;5DWG;5DWI;5DWJ;5DX3;5DXB;5DXE;5DXG;5DXK;5DXM;5DXP;5DXQ;5DXR;5DY8;5DYB;5DYD;5DZ0;5DZ1;5DZ3;5DZH;5DZI;5E0W;5E0X;5E14;5E15;5E19;5E1C;5EGV;5EHJ;5EI1;5EIT;5FQP;5FQR;5FQS;5FQT;5FQV;5GS4;5GTR;5HYR;5JMM;5KCC;5KCD;5KCE;5KCF;5KCT;5KCU;5KCW;5KD9;5KR9;5KRA;5KRC;5KRF;5KRH;5KRI;5KRJ;5KRK;5KRL;5KRM;5KRO;5N10;5T0X;5T1Z;5T92;5T97;5TLD;5TLF;5TLG;5TLL;5TLM;5TLO;5TLP;5TLT;5TLU;5TLV;5TLX;5TLY;5TM1;5TM2;5TM3;5TM4;5TM5;5TM6;5TM7;5TM8;5TM9;5TML;5TMM;5TMO;5TMQ;5TMR;5TMS;5TMT;5TMU;5TMV;5TMW;5TMZ;5TN1;5TN3;5TN4;5TN5;5TN6;5TN7;5TN8;5TN9;5TNB;5U2B;5U2D;5UFW;5UFX;5W9C;5W9D;5WGD;5WGQ;6B0F;6C42;6CBZ;6CHW;6CHZ;6CZN;6D0F;6DF6;6DFN;6HHP;6HKB;6HKF;6HMU;6IAR;6OWC;6PET;6PFM;6PIT;6PSJ;6SBO;6SQ0;6SUO;6TJM;6TL3;6V87;6V8T;6VGH;6VIG;6VJD;6VMU;6VPF;6VPK;6VVP;6WOK;6ZOQ;6ZOR;6ZOS;7B9M;7B9R;7B9T;7BA3;7BA5;7BA6;7BA7;7BA8;7BA9;7BAA;7BAB;7JHD;7KBS;7KCA;7KCD;7MSA;7NDO;7NEL;7NFB;7NFW;7NIZ;7RRX;7RRY;7RRZ;7RS0;7RS1;7RS2;7RS3;7RS4;7RS7;7RS8;7RS9;7TE7;7UJ7;,Nuclear hormone receptor.
P03436,HEMA_I68A6,Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain],HA,reviewed,Influenza A virus (strain A/Northern Territory/60/1968 H3N2) (Influenza A virus (strain NT60)) (Influenza A virus (strain A/NT/60/1968 H3N2)),566,"63,488",N/A,N/A,N/A,5T6N;6BKM;6CEX;,"Binds to sialic acid-containing receptors on the cell surface, bringing about the attachment of the virus particle to the cell."
P03451,HEMA_I57A0,Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain],HA,reviewed,Influenza A virus (strain A/Japan/305/1957 H2N2),562,"63,119",N/A,N/A,N/A,4HFU;4HG4;,"Binds to sialic acid-containing receptors on the cell surface, bringing about the attachment of the virus particle to the cell."
P03524,GLYCO_RABVE,Glycoprotein,G,reviewed,Rabies virus (strain ERA) (RABV),524,"58,658",N/A,N/A,N/A,3NFK;,"Attaches the virus to host cellular receptor, inducing endocytosis of the virion. In the endosome, the acidic pH induces conformational changes in the glycoprotein trimer, which trigger fusion between virus and cell membrane."
P04085,PDGFA_HUMAN,Platelet-derived growth factor subunit A (PDGF subunit A) (PDGF-1) (Platelet-derived growth factor A chain) (Platelet-derived growth factor alpha polypeptide),PDGFA PDGF1,reviewed,Homo sapiens (Human),211,"24,043",N/A,N/A,N/A,3MJK;,"Growth factor that plays an essential role in the regulation of embryonic development, cell proliferation, cell migration, survival and chemotaxis."
P04183,KITH_HUMAN,"Thymidine kinase, cytosolic (EC 2.7.1.21)",TK1,reviewed,Homo sapiens (Human),234,"25,469",N/A,N/A,Reaction=ATP + thymidine = ADP + dTMP + H(+),1W4R;1XBT;2ORV;2WVJ;,Cell-cycle-regulated enzyme of importance in nucleotide metabolism.
P04216,THY1_HUMAN,Thy-1 membrane glycoprotein (CDw90) (Thy-1 antigen) (CD antigen CD90),THY1,reviewed,Homo sapiens (Human),161,"17,935",N/A,N/A,N/A,N/A,May play a role in cell-cell or cell-ligand interactions during synaptogenesis and other events in the brain.
P04275,VWF_HUMAN,von Willebrand factor (vWF) [Cleaved into: von Willebrand antigen 2 (von Willebrand antigen II)],VWF F8VWF,reviewed,Homo sapiens (Human),2813,"309,265",N/A,von Willebrand disease 1 (VWD1),N/A,1AO3;1ATZ;1AUQ;1FE8;1FNS;1IJB;1IJK;1M10;1OAK;1SQ0;1U0N;1UEX;2ADF;2MHP;2MHQ;3GXB;3HXO;3HXQ;3PPV;3PPW;3PPX;3PPY;3ZQK;4C29;4C2A;4C2B;4DMU;4NT5;5BV8;6FWN;6N29;7EOW;7F49;7KWO;7PMV;7PNF;,"Important in the maintenance of hemostasis, it promotes adhesion of platelets to the sites of vascular injury by forming a molecular bridge between sub-endothelial collagen matrix and platelet-surface receptor complex GPIb-IX-V."
P04578,ENV_HV1H2,Envelope glycoprotein gp160 (Env polyprotein) [Cleaved into: Surface protein gp120 (SU) (Glycoprotein 120) (gp120); Transmembrane protein gp41 (TM) (Glycoprotein 41) (gp41)],env,reviewed,Human immunodeficiency virus type 1 group M subtype B (isolate HXB2) (HIV-1),856,"97,213",N/A,N/A,N/A,1AIK;1DF4;1DF5;1DLB;1FAV;1G9M;1GC1;1GZL;1K33;1K34;1MZI;1RZJ;2CMR;2ME1;2MG1;2MG2;2MG3;2NY7;2PV6;2XRA;3D0V;3DNL;3DNN;3DNO;3DRO;3IDX;3IDY;3J70;3MNZ;3TYG;3VIE;4JPJ;4JPK;4YDV;4ZTO;5BN0;5C0R;5C0S;5CIL;5CIN;5CMU;5CMZ;5CN0;5DD0;5GHW;5H0N;5HFL;5HM1;5IVX;5KA5;5KA6;5NVP;5NWU;5NWW;5TKJ;5TKK;5WDF;5X08;5YB2;5YB3;5YB4;5YC0;5Z0W;5ZCX;6B9K;6BXP;6BXQ;6DE7;6DLN;6J5E;6JQK;6KTS;6MQC;6MQE;6MQM;6MQR;6MQS;6N16;6NCP;6NPR;6O3G;6O3J;6O3L;6O42;6P60;6P7H;6P8D;6PDR;6PDS;6PDU;6PEC;6PEF;6PSA;6RYF;6SNC;6SND;6SNE;6UBI;6UCE;6UCF;6UJU;6UJV;6WWC;7AEJ;7EKB;7EKK;7LOH;7LOI;,Oligomerizes in the host endoplasmic reticulum into predominantly trimers.
P04585,POL_HV1H2,Gag-Pol polyprotein (Pr160Gag-Pol) [Cleaved into: Matrix protein p17 (MA); Capsid protein p24 (CA); Spacer peptide 1 (SP1) (p2); Nucleocapsid protein p7 (NC); Transframe peptide (TF); p6-pol (p6*); Protease (EC 3.4.23.16) (PR) (Retropepsin); Reverse transcriptase/ribonuclease H (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.13) (Exoribonuclease H) (EC 3.1.13.2) (p66 RT); p51 RT; p15; Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)],gag-pol,reviewed,Human immunodeficiency virus type 1 group M subtype B (isolate HXB2) (HIV-1),1435,"162,042","The viral protease is inhibited by many synthetic protease inhibitors (PIs), such as amprenavir, atazanavir, indinavir, loprinavir, nelfinavir, ritonavir and saquinavir",N/A,"Reaction=Specific for a P1 residue that is hydrophobic, and P1' variable",1A30;1BV7;1BV9;1BVE;1BVG;1BWA;1BWB;1C0T;1C0U;1C1B;1C1C;1DMP;1DTQ;1DTT;1E6J;1EP4;1ESK;1EX4;1EXQ;1FB7;1FK9;1FKO;1FKP;1G6L;1HIV;1HVH;1HVR;1HWR;1HXB;1JKH;1JLA;1JLB;1JLC;1JLE;1JLF;1JLG;1JLQ;1KLM;1LV1;1LW0;1LW2;1LWC;1LWE;1LWF;1NCP;1O1W;1ODW;1ODY;1QBR;1QBS;1QBT;1QBU;1REV;1RT1;1RT2;1RT3;1RT4;1RT5;1RT6;1RT7;1RTD;1RTH;1RTI;1RTJ;1S1T;1S1U;1S1V;1S1W;1S1X;1T05;1TAM;1TKT;1TKX;1TKZ;1TL1;1TL3;1VRT;1VRU;2HND;2HNY;2HNZ;2KOD;2NPH;2OPP;2OPQ;2OPR;2OPS;2RF2;2RKI;2WHH;2WOM;2WON;2YNF;2YNG;2YNH;2YNI;3AO2;3C6T;3C6U;3DI6;3DLE;3DLG;3DM2;3DMJ;3DOK;3DOL;3DOX;3DRP;3DRR;3DRS;3DYA;3E01;3FFI;3I0R;3I0S;3KJV;3KK1;3KK2;3KK3;3KT2;3KT5;3LAK;3LAL;3LAM;3LAN;3LP0;3LP1;3LP2;3M8P;3M8Q;3MEC;3MED;3MEE;3MEG;3N3I;3NBP;3PHV;3QIN;3QIO;3QIP;3T19;3T1A;3TAM;4B3O;4B3P;4B3Q;4I7F;4KSE;4KV8;4NCG;4Q1W;4Q1X;4Q1Y;4Q5M;4QLH;4U1H;4U1I;4U1J;4U7Q;4U7V;5DGU;5DGW;5EU7;5HRN;5HRP;5HRR;5HRS;5IM7;5J2M;5J2N;5J2P;5J2Q;5K14;5KAO;5T82;5TC2;5VZ6;5XOS;5XOT;5YRS;6BJ2;6BJ3;6BSG;6BSH;6BSI;6BSJ;6DIF;6DIL;6DJ1;6DJ2;6DJ5;6DJ7;6DV0;6DV4;6E7J;6E9A;6EWA;6EX9;6GL1;6J1V;6J1W;6OR7;6OTZ;6P1I;6P1X;6P2G;6PYL;6SKK;6SKM;6SKN;6SLQ;6SLU;6SMU;6UIR;6UIS;6UIT;6UJX;6UJY;6UJZ;6UK0;6VPZ;6VQ2;6VQD;6VQE;6VQY;6VQZ;6WAZ;6WB1;6WPF;6WPH;6WPJ;,"Mediates, with Gag polyprotein, the essential events in virion assembly, including binding the plasma membrane."
P04626,ERBB2_HUMAN,Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340),ERBB2 HER2 MLN19 NEU NGL,reviewed,Homo sapiens (Human),1255,"137,910",Activated by dimerization,Glioma (GLM),Reaction=ATP + L-tyrosyl-[protein] = ADP + H(+) + O-phospho-L-tyrosyl-[protein],1MFG;1MFL;1MW4;1N8Z;1QR1;1S78;2A91;2JWA;2KS1;2L4K;2N2A;3BE1;3H3B;3MZW;3N85;3PP0;3RCD;3WLW;3WSQ;4GFU;4HRL;4HRM;4HRN;4NND;5K33;5KWG;5MY6;5O4G;5OB4;5TQS;6ATT;6BGT;6J71;6LBX;6OGE;7JXH;7MN5;7MN6;7MN8;,"Protein tyrosine kinase that is part of several cell surface receptor complexes, but that apparently needs a coreceptor for ligand binding."
P04637,P53_HUMAN,Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53),TP53 P53,reviewed,Homo sapiens (Human),393,"43,653",N/A,TP53 is found in increased amounts in a wide variety of transformed cells,N/A,1A1U;1AIE;1C26;1DT7;1GZH;1H26;1HS5;1JSP;1KZY;1MA3;1OLG;1OLH;1PES;1PET;1SAE;1SAF;1SAK;1SAL;1TSR;1TUP;1UOL;1XQH;1YC5;1YCQ;1YCR;1YCS;2AC0;2ADY;2AHI;2ATA;2B3G;2BIM;2BIN;2BIO;2BIP;2BIQ;2F1X;2FEJ;2FOJ;2FOO;2GS0;2H1L;2H2D;2H2F;2H4F;2H4H;2H4J;2H59;2J0Z;2J10;2J11;2J1W;2J1X;2J1Y;2J1Z;2J20;2J21;2K8F;2L14;2LY4;2MEJ;2MWO;2MWP;2MWY;2MZD;2OCJ;2PCX;2RUK;2VUK;2WGX;2X0U;2X0V;2X0W;2XWR;2YBG;2YDR;2Z5S;2Z5T;3D05;3D06;3D07;3D08;3D09;3D0A;3DAB;3DAC;3IGK;3IGL;3KMD;3KZ8;3LW1;3OQ5;3PDH;3Q01;3Q05;3Q06;3SAK;3TG5;3TS8;3ZME;4AGL;4AGM;4AGN;4AGO;4AGP;4AGQ;4BUZ;4BV2;4HFZ;4HJE;4IBQ;4IBS;4IBT;4IBU;4IBV;4IBW;4IBY;4IBZ;4IJT;4KVP;4LO9;4LOE;4LOF;4MZI;4MZR;4QO1;4RP6;4RP7;4X34;4XR8;4ZZJ;5A7B;5AB9;5ABA;5AOI;5AOJ;5AOK;5AOL;5AOM;5BUA;5ECG;5G4M;5G4N;5G4O;5HOU;5HP0;5HPD;5LAP;5LGY;5MCT;5MCU;5MCV;5MCW;5MF7;5MG7;5MHC;5MOC;5O1A;5O1B;5O1C;5O1D;5O1E;5O1F;5O1G;5O1H;5O1I;5OL0;5UN8;5XZC;6FF9;6FJ5;6GGA;6GGB;6GGC;6GGD;6GGE;6GGF;6LHD;6R5L;6RJZ;6RK8;6RKI;6RKK;6RKM;6RL3;6RL4;6RL6;6RM5;6RM7;6RWH;6RWI;6RWS;6RWU;6RX2;6RZ3;6S39;6S3C;6S40;6S9Q;6SHZ;6SI0;6SI1;6SI2;6SI3;6SI4;6SIN;6SIO;6SIP;6SIQ;6SL6;6SLV;6T58;6V4F;6V4H;6VQO;6VR1;6VR5;6VRM;6VRN;6W51;6XRE;6ZNC;7B46;7B47;7B48;7B49;7B4A;7B4B;7B4C;7B4D;7B4E;7B4F;7B4G;7B4H;7B4N;7BWN;7DHY;7DHZ;7DVD;7EAX;7EL4;7NMI;7RM4;,Acts as a tumor suppressor in many tumor types; induces growth arrest or apoptosis depending on the physiological circumstances and cell type.
P04640,OSTCN_RAT,Osteocalcin (Bone Gla protein) (BGP) (Gamma-carboxyglutamic acid-containing protein),Bglap Bglap2,reviewed,Rattus norvegicus (Rat),99,"10,927",N/A,N/A,N/A,N/A,Constitutes 1-2% of the total bone protein. It binds strongly to apatite and calcium.
